Compound	CMap_Score	a_score	b_score
BRD-K77685957	1.4585106382978723	0.7659574468085106	-0.6925531914893617
BRD-K30577245	1.4500000000000002	0.7191489361702128	-0.7308510638297873
BRD-K07612980	1.4382978723404256	0.7957446808510639	-0.6425531914893617
BRD-K25412176	1.4106382978723404	0.7936170212765957	-0.6170212765957447
BRD-A20239487	1.40531914893617	0.6404255319148936	-0.7648936170212766
BRD-A83650191	1.3946808510638298	0.8117021276595745	-0.5829787234042553
BRD-K04622161	1.372340425531915	0.6287234042553191	-0.7436170212765958
BRD-K23952234	1.3627659574468085	0.5670212765957447	-0.7957446808510639
BRD-A67516570	1.3432624113475176	0.6049645390070921	-0.7382978723404255
BRD-K71221037	1.3393617021276594	0.7638297872340425	-0.575531914893617
BRD-K60341624	1.3372340425531914	0.7531914893617021	-0.5840425531914893
BRD-K50677762	1.326595744680851	0.7425531914893617	-0.5840425531914893
BRD-K76064317	1.3244680851063828	0.7691489361702127	-0.5553191489361702
BRD-K17294426	1.323404255319149	0.7361702127659575	-0.5872340425531914
BRD-K82181219	1.3134751773049644	0.8691489361702127	-0.4443262411347518
BRD-K56405753	1.3127659574468087	0.6074468085106384	-0.7053191489361702
BRD-A25687296	1.3070921985815602	0.6028368794326241	-0.7042553191489361
BRD-K30519779	1.2946808510638297	0.5712765957446808	-0.723404255319149
BRD-K61443650	1.2893617021276595	0.624468085106383	-0.6648936170212766
BRD-K15071410	1.2829787234042553	0.6712765957446809	-0.6117021276595744
BRD-K32007074	1.2797872340425531	0.5808510638297872	-0.698936170212766
BRD-A08840375	1.2680851063829786	0.7159574468085106	-0.5521276595744681
BRD-K44009692	1.253191489361702	0.6138297872340426	-0.6393617021276595
BRD-A55962179	1.253191489361702	0.4138297872340425	-0.8393617021276596
BRD-K71847383	1.246808510638298	0.5819148936170213	-0.6648936170212766
BRD-K61397605	1.2425531914893617	0.648936170212766	-0.5936170212765958
BRD-K66094457	1.2400709219858155	0.5634751773049645	-0.676595744680851
BRD-K62213621	1.228723404255319	0.65	-0.5787234042553191
BRD-K90027121	1.2244680851063832	0.6138297872340426	-0.6106382978723405
BRD-K96153583	1.2191489361702128	0.4968085106382979	-0.7223404255319149
BRD-K68095457	1.2170212765957449	0.5914893617021277	-0.625531914893617
BRD-K86118762	1.2166666666666668	0.5634751773049645	-0.6531914893617021
BRD-A98990573	1.2102836879432624	0.6400709219858156	-0.5702127659574469
BRD-K97764662	1.2063829787234042	0.5595744680851064	-0.6468085106382979
BRD-K01614093	1.198581560283688	0.5677304964539007	-0.6308510638297873
BRD-K45252063	1.196808510638298	0.6638297872340426	-0.5329787234042553
BRD-K94559059	1.1911347517730495	0.5049645390070922	-0.6861702127659575
BRD-K79131256	1.1904255319148938	0.49148936170212765	-0.698936170212766
BRD-A14240607	1.1900709219858157	0.4890070921985815	-0.701063829787234
BRD-A49765801	1.1893617021276595	0.5797872340425532	-0.6095744680851064
BRD-K80700417	1.1872340425531915	0.4691489361702128	-0.7180851063829787
BRD-K93123848	1.1840425531914893	0.5234042553191489	-0.6606382978723404
BRD-K27182532	1.1804964539007092	0.5624113475177305	-0.6180851063829788
BRD-K47000838	1.1797872340425533	0.7223404255319149	-0.4574468085106383
BRD-K84892605	1.1709219858156028	0.5656028368794326	-0.6053191489361702
BRD-K58122457	1.1702127659574466	0.6425531914893616	-0.5276595744680851
BRD-K19333160	1.1691489361702128	0.5319148936170213	-0.6372340425531915
BRD-A94756469	1.1691489361702128	0.5659574468085107	-0.6031914893617021
BRD-K28537285	1.1691489361702128	0.5191489361702128	-0.65
BRD-K58529924	1.1691489361702128	0.8297872340425532	-0.3393617021276596
BRD-K40308497	1.1638297872340426	0.5914893617021277	-0.5723404255319149
BRD-K82244583	1.1592198581560282	0.5539007092198581	-0.6053191489361702
BRD-K41213548	1.1574468085106382	0.5372340425531915	-0.6202127659574468
BRD-K91614056	1.1560283687943262	0.7776595744680851	-0.3783687943262411
BRD-K68174511	1.1560283687943262	0.6092198581560283	-0.5468085106382978
BRD-A91831168	1.147517730496454	0.4890070921985815	-0.6585106382978724
BRD-K36467523	1.1457446808510638	0.5808510638297872	-0.5648936170212766
BRD-A06426627	1.1446808510638298	0.6936170212765957	-0.451063829787234
BRD-K68408772	1.144326241134752	0.7351063829787234	-0.4092198581560284
BRD-K37723606	1.1443262411347517	0.626241134751773	-0.5180851063829788
BRD-K32821942	1.1361702127659574	0.5074468085106383	-0.6287234042553191
BRD-K65678996	1.1351063829787233	0.5159574468085106	-0.6191489361702127
BRD-K35629949	1.1319148936170214	0.6648936170212766	-0.46702127659574466
BRD-A60197193	1.1273049645390072	0.7914893617021277	-0.33581560283687945
BRD-K40438880	1.125177304964539	0.625531914893617	-0.49964539007092196
BRD-K12502280	1.119858156028369	0.5723404255319149	-0.547517730496454
BRD-K48578705	1.1166666666666667	0.6092198581560283	-0.5074468085106383
BRD-K74514084	1.1166666666666667	0.4890070921985815	-0.6276595744680851
BRD-K96123349	1.1117021276595747	0.5574468085106383	-0.5542553191489362
BRD-K43449605	1.1113475177304966	0.5868794326241135	-0.524468085106383
BRD-K97752965	1.1106382978723404	0.5117021276595745	-0.5989361702127659
BRD-K97746869	1.1095744680851065	0.4787234042553191	-0.6308510638297873
BRD-K13050303	1.1085106382978722	0.7734042553191489	-0.3351063829787234
BRD-K60997853	1.1081560283687943	0.7021276595744681	-0.4060283687943263
BRD-K28061410	1.1063829787234043	0.5648936170212766	-0.5414893617021277
BRD-K13112821	1.1056737588652483	0.5836879432624114	-0.521985815602837
BRD-K69932463	1.1021276595744682	0.42340425531914894	-0.6787234042553192
BRD-K61536336	1.102127659574468	0.5223404255319148	-0.5797872340425532
BRD-K78177893	1.098581560283688	0.3124113475177305	-0.7861702127659574
BRD-A07986123	1.09645390070922	0.5304964539007092	-0.5659574468085107
BRD-K06858286	1.0946808510638297	0.4659574468085106	-0.6287234042553191
BRD-K96631475	1.0943262411347516	0.43900709219858153	-0.6553191489361702
BRD-K97010173	1.0900709219858156	0.49432624113475176	-0.5957446808510638
BRD-K18898553	1.0858156028368795	0.6946808510638298	-0.3911347517730496
BRD-K43187018	1.0851063829787233	0.7085106382978723	-0.37659574468085105
BRD-K27771035	1.0836879432624114	0.34964539007092194	-0.7340425531914894
BRD-K13756951	1.0776595744680852	0.4521276595744681	-0.625531914893617
BRD-A29485665	1.075177304964539	0.47730496453900706	-0.597872340425532
BRD-K23228615	1.071985815602837	0.672340425531915	-0.399645390070922
BRD-K39484304	1.070921985815603	0.7287234042553192	-0.34219858156028365
BRD-K37793595	1.0670212765957447	0.7510638297872341	-0.3159574468085106
BRD-K17555800	1.0656028368794326	0.38794326241134747	-0.6776595744680851
BRD-K80725821	1.0645390070921987	0.5829787234042554	-0.4815602836879433
BRD-K73293050	1.0617021276595744	0.5680851063829787	-0.49361702127659574
BRD-K51324732	1.0606382978723405	0.5904255319148937	-0.4702127659574468
BRD-K56291712	1.0581560283687943	0.4900709219858156	-0.5680851063829787
BRD-K63736853	1.0578014184397162	0.7946808510638298	-0.2631205673758865
BRD-K83834509	1.0563829787234043	0.2776595744680851	-0.7787234042553192
BRD-K84937637	1.0563829787234043	0.6223404255319149	-0.4340425531914894
BRD-K35240538	1.054255319148936	0.5585106382978724	-0.4957446808510638
BRD-K08547377	1.05177304964539	0.6776595744680851	-0.37411347517730503
BRD-K47557313	1.05177304964539	0.5638297872340425	-0.4879432624113475
BRD-K92241597	1.049645390070922	0.27517730496453896	-0.774468085106383
BRD-K51471001	1.0475177304964538	0.3358156028368794	-0.7117021276595744
BRD-K20290250	1.047163120567376	0.28652482269503543	-0.7606382978723404
BRD-K04264130	1.0446808510638297	0.5478723404255319	-0.4968085106382979
BRD-A81129465	1.0432624113475177	0.9042553191489362	-0.1390070921985816
BRD-K45528773	1.0432624113475177	0.45496453900709216	-0.5882978723404255
BRD-K18961567	1.0421985815602837	0.7734042553191489	-0.2687943262411348
BRD-K96424892	1.0390070921985815	0.34645390070921983	-0.6925531914893617
BRD-K89014967	1.0361702127659576	0.4148936170212766	-0.6212765957446809
BRD-K67566344	1.0361702127659573	0.7723404255319148	-0.26382978723404255
BRD-K28307902	1.0340425531914894	0.45319148936170217	-0.5808510638297872
BRD-K75478907	1.0340425531914894	0.28297872340425534	-0.7510638297872341
BRD-K32572029	1.0329787234042553	0.6106382978723404	-0.4223404255319149
BRD-K56707426	1.0304964539007093	0.6627659574468086	-0.3677304964539007
BRD-K76840893	1.0304964539007093	0.3358156028368794	-0.6946808510638298
BRD-K10843433	1.0297872340425531	0.6691489361702128	-0.3606382978723404
BRD-K98203492	1.0294326241134752	0.6531914893617021	-0.37624113475177307
BRD-K68336408	1.029432624113475	0.41241134751773045	-0.6170212765957447
BRD-K48988407	1.029432624113475	0.3996453900709219	-0.6297872340425532
